time,WEL1,WEL2
1.000000000000,0.3000000000E+31,0.3000000000E+31
31.41666666667,-100.0000000,-5.000000000
61.83333333333,-100.0000000,-5.000000000
92.25000000000,-100.0000000,-5.000000000
122.6666666667,-100.0000000,-5.000000000
153.0833333333,-100.0000000,-5.000000000
183.5000000000,-100.0000000,-5.000000000
213.9166666667,-50.00000000,-2.500000000
244.3333333333,-50.00000000,-2.500000000
274.7500000000,-50.00000000,-2.500000000
305.1666666667,-50.00000000,-2.500000000
335.5833333333,-50.00000000,-2.500000000
366.0000000000,-50.00000000,-2.500000000
