i,j,site,pce
50,43,pc4_ams,16.78
38,48,prof_2,0.1
38,51,pzb,0.1
38,41,prof_1,0.1
46,46,mw04,185.86
42,42,pp_202,0.1
48,45,pc1_ams_bis,170.94
49,49,mw07,16.81
46,51,mw05,9.53
62,47,piez13,62.61
55,45,piezm7,8.01
51,54,prof_5,26.74
54,50,mw08,8.76
37,45,prof_3,0.1
48,55,prof_6,1.43
43,46,mw02,196.91
40,46,mw01,199.87
44,44,p1003,4.31
44,48,mw03,22.27
48,47,mw06,135.65
39,58,prof_4,0.1
47,56,pz7,0.1
58,47,piezm8,55.02
52,43,piezm1,0.89
54,44,piezm2,1.41
60,47,piezm3,113.82
42,39,pzp1_bis,0.1
45,41,p1002,0.1
63,46,piez14,5.04
62,44,piezm6,0.1
64,45,piez15,0.1
64,43,piez17,0.1
64,44,piez16,0.1
61,46,piezm5,19.04
60,46,piez11,17.09
58,45,piez9,0.88
48,37,prof_11,0.1
46,39,pc2_ams,0.1
49,41,pc3_ams,0.44
57,44,piez8,0.1
56,44,piez7,0.1
55,43,piez6,0.1
55,43,piez5,0.1
53,42,piez3,0.1
53,41,piez2,0.1
52,41,piez1,0.1
54,31,prof_21,-999.0
57,36,pz18,-999.0
58,30,pz20,-999.0
45,38,pz4,0.1
53,4,pz1,-999.0
67,37,mm35,-999.0
17,20,mm97,-999.0
45,15,mm32,-999.0
57,32,pz_aler,-999.0
57,34,prof_22,-999.0
52,27,sp1_pzest,-999.0
